Latitude,Ratings,url,Name,Longtitude
77.63918,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d7100285-Reviews-Mamagoto-Bengaluru_Karnataka.html,Mamagoto,7100285
77.58205,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d2633947-Reviews-Oko-Bengaluru_Karnataka.html,Oko,2633947
,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d6819274-Reviews-Gilly_s_Restobar-Bengaluru_Karnataka.html,,
77.58802,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d2569088-Reviews-Subz-Bengaluru_Karnataka.html,Subz,2569088
77.64096,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d6103807-Reviews-Loft_38-Bengaluru_Karnataka.html,Loft 38,6103807
77.54725,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d4698833-Reviews-Uppu_Munchi-Bengaluru_Karnataka.html,Uppu Munchi,4698833
77.61328,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d4476047-Reviews-Om_Pure_Vegetarian_Restaurant-Bengaluru_Karnataka.html,Om Pure Vegetarian Restaurant,4476047
,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d5997338-Reviews-Palette-Bengaluru_Karnataka.html,,
77.63688,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d7312019-Reviews-Chinita-Bengaluru_Karnataka.html,Chinita,7312019
77.64444,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d7287250-Reviews-Le_Cirque_Signature-Bengaluru_Karnataka.html,Le Cirque Signature,7287250
77.60751,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4072215-Reviews-Konark_Vegetarian_Restaurant-Bengaluru_Karnataka.html,Konark Vegetarian Restaurant,4072215
77.61962,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d2099400-Reviews-Cafe_Mozaic-Bengaluru_Karnataka.html,Cafe Mozaic,2099400
